,date,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps),sleeptime,sleepnote
45,2015-02-21,2015/2/21 22:54,2015/2/22 7:49,0.92,8:55:00,:),Drank coffee:Drank tea,56,0,535,"['Drank coffee', 'Drank tea']"
46,2015-02-22,2015/2/22 22:18,2015/2/23 6:20,0.87,8:02:00,:),Drank coffee,60,0,482,['Drank coffee']
47,2015-02-24,2015/2/24 22:30,2015/2/25 6:20,0.69,7:49:00,:),Drank coffee:Drank tea,62,0,469,"['Drank coffee', 'Drank tea']"
48,2015-02-26,2015/2/26 1:22,2015/2/26 7:16,0.65,5:54:00,:|,Drank coffee:Drank tea,,0,354,"['Drank coffee', 'Drank tea']"
49,2015-02-26,2015/2/26 21:42,2015/2/27 5:37,0.9,7:54:00,:),Drank tea:Worked out,61,0,474,"['Drank tea', 'Worked out']"
50,2015-03-01,2015/3/1 20:14,2015/3/2 5:44,0.88,9:29:00,:),Drank coffee,62,0,569,['Drank coffee']
51,2015-03-03,2015/3/3 21:47,2015/3/4 5:30,0.61,7:43:00,:),Drank coffee:Drank tea:Worked out,62,0,463,"['Drank coffee', 'Drank tea', 'Worked out']"
52,2015-03-04,2015/3/4 20:53,2015/3/5 6:13,0.54,9:19:00,:),Drank coffee:Drank tea:Stressful day:Worked out,68,0,559,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
53,2015-03-05,2015/3/5 22:29,2015/3/6 6:20,0.86,7:50:00,:),Drank coffee:Drank tea,58,0,470,"['Drank coffee', 'Drank tea']"
54,2015-03-08,2015/3/8 22:54,2015/3/9 6:20,0.69,7:25:00,:),Drank coffee,61,0,445,['Drank coffee']
55,2015-03-09,2015/3/9 21:28,2015/3/10 6:18,0.99,8:50:00,:),Drank coffee:Drank tea,67,0,530,"['Drank coffee', 'Drank tea']"
56,2015-03-10,2015/3/10 22:17,2015/3/11 6:18,0.82,8:01:00,:),Drank coffee:Drank tea,71,0,481,"['Drank coffee', 'Drank tea']"
57,2015-03-11,2015/3/11 21:39,2015/3/12 5:19,0.77,7:40:00,:),Drank coffee:Drank tea,63,0,460,"['Drank coffee', 'Drank tea']"
58,2015-03-12,2015/3/12 21:44,2015/3/13 5:20,0.72,7:36:00,:),Drank coffee:Drank tea:Worked out,60,0,456,"['Drank coffee', 'Drank tea', 'Worked out']"
59,2015-03-15,2015/3/15 21:50,2015/3/16 4:51,0.82,7:00:00,:),,62,0,420,['nan']
60,2015-03-16,2015/3/16 21:48,2015/3/17 5:21,0.75,7:32:00,:),Drank coffee:Drank tea,54,0,452,"['Drank coffee', 'Drank tea']"
61,2015-03-17,2015/3/17 23:57,2015/3/18 8:01,0.91,8:03:00,:),Drank coffee:Drank tea:Worked out,62,0,483,"['Drank coffee', 'Drank tea', 'Worked out']"
62,2015-03-21,2015/3/21 1:10,2015/3/21 8:00,0.74,6:49:00,:),Drank coffee,66,0,409,['Drank coffee']
63,2015-03-22,2015/3/22 23:07,2015/3/23 7:30,0.75,8:22:00,:),Drank coffee:Drank tea,65,0,502,"['Drank coffee', 'Drank tea']"
64,2015-03-24,2015/3/24 22:11,2015/3/25 6:19,0.84,8:07:00,:),Drank coffee,58,0,487,['Drank coffee']
65,2015-03-25,2015/3/25 22:00,2015/3/26 5:22,0.76,7:22:00,:),Drank coffee:Drank tea:Worked out,,0,442,"['Drank coffee', 'Drank tea', 'Worked out']"
66,2015-03-26,2015/3/26 21:23,2015/3/27 5:26,0.92,8:03:00,:),Drank tea:Worked out,54,0,483,"['Drank tea', 'Worked out']"
67,2015-03-30,2015/3/30 22:30,2015/3/31 5:28,0.82,6:57:00,:),Drank coffee:Worked out,64,0,417,"['Drank coffee', 'Worked out']"
68,2015-03-31,2015/3/31 22:17,2015/4/1 5:50,0.84,7:32:00,:),Drank coffee:Drank tea:Worked out,55,0,452,"['Drank coffee', 'Drank tea', 'Worked out']"
69,2015-04-04,2015/4/4 23:13,2015/4/5 7:31,0.95,8:17:00,:),Drank coffee:Drank tea,,0,497,"['Drank coffee', 'Drank tea']"
70,2015-04-06,2015/4/6 21:22,2015/4/7 6:15,0.79,8:53:00,:),Drank coffee:Drank tea,55,0,533,"['Drank coffee', 'Drank tea']"
71,2015-04-07,2015/4/7 21:17,2015/4/8 6:18,1,9:01:00,:),Drank tea,51,0,541,['Drank tea']
72,2015-04-08,2015/4/8 22:09,2015/4/9 5:02,0.81,6:52:00,:),Drank tea,52,0,412,['Drank tea']
73,2015-04-09,2015/4/9 21:56,2015/4/10 5:23,0.8,7:27:00,:),Drank coffee:Drank tea:Worked out,,0,447,"['Drank coffee', 'Drank tea', 'Worked out']"
74,2015-04-10,2015/4/10 23:51,2015/4/11 7:41,0.85,7:50:00,:),Drank tea:Worked out,,0,470,"['Drank tea', 'Worked out']"
75,2015-04-11,2015/4/11 23:16,2015/4/12 6:53,0.97,7:36:00,:),Drank coffee:Drank tea,52,0,456,"['Drank coffee', 'Drank tea']"
76,2015-04-12,2015/4/12 22:04,2015/4/13 5:41,0.84,7:36:00,:),Drank coffee:Drank tea,58,0,456,"['Drank coffee', 'Drank tea']"
77,2015-04-13,2015/4/13 22:19,2015/4/14 5:45,0.78,7:25:00,:),Drank tea:Worked out,57,0,445,"['Drank tea', 'Worked out']"
78,2015-04-15,2015/4/15 0:28,2015/4/15 7:30,0.81,7:01:00,:),Drank coffee:Drank tea:Worked out,63,0,421,"['Drank coffee', 'Drank tea', 'Worked out']"
79,2015-04-16,2015/4/16 23:20,2015/4/17 6:20,0.82,6:59:00,:),Drank coffee:Drank tea,58,0,419,"['Drank coffee', 'Drank tea']"
80,2015-04-17,2015/4/17 23:50,2015/4/18 7:22,0.59,7:32:00,:),Drank coffee:Drank tea:Stressful day:Worked out,53,0,452,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
81,2015-04-20,2015/4/20 22:37,2015/4/21 6:18,0.77,7:40:00,:),Drank coffee:Drank tea,58,0,460,"['Drank coffee', 'Drank tea']"
82,2015-04-22,2015/4/22 21:31,2015/4/23 5:11,0.77,7:39:00,:),Drank coffee:Drank tea:Stressful day,67,0,459,"['Drank coffee', 'Drank tea', 'Stressful day']"
83,2015-04-23,2015/4/23 21:46,2015/4/24 5:13,0.87,7:26:00,:),Drank coffee:Drank tea:Stressful day:Worked out,,0,446,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
84,2015-04-25,2015/4/25 22:53,2015/4/26 7:53,1,9:00:00,:),Drank coffee:Drank tea,61,0,540,"['Drank coffee', 'Drank tea']"
85,2015-04-26,2015/4/26 21:51,2015/4/27 4:59,0.7,7:07:00,:),Ate late:Drank coffee:Drank tea,64,0,427,"['Ate late', 'Drank coffee', 'Drank tea']"
86,2015-04-27,2015/4/27 21:35,2015/4/28 4:57,0.77,7:21:00,:),Drank tea:Worked out,59,0,441,"['Drank tea', 'Worked out']"
87,2015-04-28,2015/4/28 21:41,2015/4/29 5:00,0.53,7:18:00,:),Drank coffee:Worked out,59,0,438,"['Drank coffee', 'Worked out']"
88,2015-04-30,2015/4/30 23:13,2015/5/1 6:06,0.77,6:52:00,:),Drank coffee:Drank tea:Stressful day,60,0,412,"['Drank coffee', 'Drank tea', 'Stressful day']"
89,2015-05-01,2015/5/1 22:20,2015/5/2 6:07,0.65,7:46:00,:),Drank coffee:Worked out,91,0,466,"['Drank coffee', 'Worked out']"
90,2015-05-05,2015/5/5 22:23,2015/5/6 6:18,0.83,7:54:00,:),Drank coffee:Drank tea:Worked out,62,0,474,"['Drank coffee', 'Drank tea', 'Worked out']"
91,2015-05-06,2015/5/6 21:47,2015/5/7 5:21,0.5,7:34:00,:),Ate late:Drank coffee:Drank tea:Worked out,59,0,454,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
92,2015-05-07,2015/5/7 21:22,2015/5/8 4:57,0.89,7:34:00,:),Drank tea:Worked out,54,0,454,"['Drank tea', 'Worked out']"
93,2015-05-09,2015/5/9 1:58,2015/5/9 7:01,0.61,5:03:00,:),Drank coffee:Drank tea:Stressful day:Worked out,75,0,303,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
94,2015-05-10,2015/5/10 22:11,2015/5/11 5:00,0.66,6:48:00,:),Drank coffee:Drank tea:Worked out,50,0,408,"['Drank coffee', 'Drank tea', 'Worked out']"
95,2015-05-11,2015/5/11 21:57,2015/5/12 5:00,0.75,7:03:00,:),Drank tea:Worked out,55,0,423,"['Drank tea', 'Worked out']"
96,2015-05-12,2015/5/12 22:04,2015/5/13 4:52,0.72,6:47:00,:),Drank tea:Worked out,59,0,407,"['Drank tea', 'Worked out']"
97,2015-05-14,2015/5/14 22:49,2015/5/15 6:17,0.79,7:28:00,:),Drank coffee:Drank tea,51,0,448,"['Drank coffee', 'Drank tea']"
98,2015-05-17,2015/5/17 21:03,2015/5/18 7:49,0.93,10:46:00,:),Drank tea:Stressful day,59,0,646,"['Drank tea', 'Stressful day']"
99,2015-05-18,2015/5/18 22:39,2015/5/19 6:20,0.91,7:41:00,:),,59,0,461,['nan']
100,2015-05-20,2015/5/20 22:22,2015/5/21 5:25,0.59,7:02:00,:),Drank tea:Worked out,62,0,422,"['Drank tea', 'Worked out']"
101,2015-05-21,2015/5/21 22:47,2015/5/22 5:25,0.74,6:38:00,:),Drank coffee:Drank tea:Worked out,60,0,398,"['Drank coffee', 'Drank tea', 'Worked out']"
102,2015-05-24,2015/5/24 0:01,2015/5/24 7:35,0.73,7:33:00,:),Drank coffee:Worked out,,0,453,"['Drank coffee', 'Worked out']"
103,2015-05-24,2015/5/24 22:58,2015/5/25 6:45,0.67,7:47:00,:),Drank coffee:Drank tea,61,0,467,"['Drank coffee', 'Drank tea']"
104,2015-05-25,2015/5/25 22:05,2015/5/26 5:29,0.85,7:23:00,:),Drank coffee:Drank tea,,0,443,"['Drank coffee', 'Drank tea']"
105,2015-05-26,2015/5/26 22:18,2015/5/27 5:14,0.69,6:56:00,:),Drank coffee:Drank tea:Worked out,,0,416,"['Drank coffee', 'Drank tea', 'Worked out']"
106,2015-05-28,2015/5/28 23:10,2015/5/29 7:00,0.81,7:49:00,:),Drank coffee:Drank tea:Worked out,52,0,469,"['Drank coffee', 'Drank tea', 'Worked out']"
107,2015-05-31,2015/5/31 23:16,2015/6/1 6:20,0.72,7:03:00,:),Drank coffee,76,0,423,['Drank coffee']
108,2015-06-01,2015/6/1 22:20,2015/6/2 6:19,0.76,7:59:00,:),Drank coffee:Drank tea:Worked out,57,0,479,"['Drank coffee', 'Drank tea', 'Worked out']"
109,2015-06-03,2015/6/3 22:19,2015/6/4 5:20,0.78,7:00:00,:),Drank coffee:Drank tea,64,0,420,"['Drank coffee', 'Drank tea']"
110,2015-06-04,2015/6/4 22:20,2015/6/5 3:45,0.7,5:25:00,:(,Drank coffee:Drank tea:Worked out,,0,325,"['Drank coffee', 'Drank tea', 'Worked out']"
111,2015-06-05,2015/6/5 3:45,2015/6/5 5:41,0.23,1:55:00,:),,57,0,115,['nan']
112,2015-06-07,2015/6/7 22:01,2015/6/8 5:40,0.75,7:39:00,:),Drank coffee,58,0,459,['Drank coffee']
113,2015-06-08,2015/6/8 21:57,2015/6/9 5:16,0.69,7:19:00,:),Drank coffee:Drank tea:Worked out,,0,439,"['Drank coffee', 'Drank tea', 'Worked out']"
114,2015-06-09,2015/6/9 21:07,2015/6/10 5:01,0.83,7:54:00,:),Drank coffee:Drank tea:Worked out,,0,474,"['Drank coffee', 'Drank tea', 'Worked out']"
115,2015-06-10,2015/6/10 21:12,2015/6/11 6:17,0.92,9:04:00,:),Drank tea:Stressful day:Worked out,68,0,544,"['Drank tea', 'Stressful day', 'Worked out']"
116,2015-06-11,2015/6/11 22:54,2015/6/12 6:19,0.74,7:25:00,:),Drank coffee:Worked out,,0,445,"['Drank coffee', 'Worked out']"
117,2015-06-14,2015/6/14 22:38,2015/6/15 6:12,0.81,7:34:00,:),Drank coffee:Drank tea,,0,454,"['Drank coffee', 'Drank tea']"
118,2015-06-15,2015/6/15 22:31,2015/6/16 6:20,0.88,7:48:00,:),Drank coffee:Drank tea:Worked out,64,0,468,"['Drank coffee', 'Drank tea', 'Worked out']"
119,2015-06-16,2015/6/16 22:21,2015/6/17 6:20,0.69,7:59:00,:),Drank coffee:Drank tea:Stressful day:Worked out,,0,479,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
120,2015-06-17,2015/6/17 21:28,2015/6/18 5:00,0.63,7:31:00,:),Drank coffee,,0,451,['Drank coffee']
121,2015-06-18,2015/6/18 22:26,2015/6/19 4:46,0.71,6:20:00,:),Drank coffee:Worked out,,0,380,"['Drank coffee', 'Worked out']"
122,2015-06-22,2015/6/22 21:54,2015/6/23 5:07,0.78,7:13:00,:),Drank coffee:Worked out,,0,433,"['Drank coffee', 'Worked out']"
123,2015-06-23,2015/6/23 22:09,2015/6/24 4:57,0.76,6:48:00,:),Drank coffee:Drank tea:Worked out,,0,408,"['Drank coffee', 'Drank tea', 'Worked out']"
125,2015-06-24,2015/6/24 22:37,2015/6/25 6:20,0.82,7:43:00,:),Drank coffee:Stressful day:Worked out,58,0,463,"['Drank coffee', 'Stressful day', 'Worked out']"
126,2015-07-11,2015/7/11 22:29,2015/7/12 8:00,0.98,9:31:00,:),Drank coffee:Stressful day,69,0,571,"['Drank coffee', 'Stressful day']"
127,2015-07-19,2015/7/19 21:38,2015/7/20 6:09,0.69,8:31:00,:),Drank coffee,74,0,511,['Drank coffee']
128,2015-07-20,2015/7/20 22:01,2015/7/21 5:04,0.68,7:03:00,:),Drank coffee:Drank tea:Worked out,,0,423,"['Drank coffee', 'Drank tea', 'Worked out']"
129,2015-07-21,2015/7/21 22:02,2015/7/22 5:45,0.79,7:42:00,:),Drank coffee:Drank tea:Worked out,67,0,462,"['Drank coffee', 'Drank tea', 'Worked out']"
130,2015-07-23,2015/7/23 22:29,2015/7/24 6:44,0.86,8:14:00,:),Drank coffee:Stressful day:Worked out,,0,494,"['Drank coffee', 'Stressful day', 'Worked out']"
131,2015-07-26,2015/7/26 22:29,2015/7/27 6:20,0.93,7:50:00,:),Drank coffee:Worked out,58,0,470,"['Drank coffee', 'Worked out']"
132,2015-07-28,2015/7/28 21:32,2015/7/29 5:39,0.68,8:07:00,:),Drank coffee:Drank tea:Stressful day:Worked out,58,0,487,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
133,2015-07-29,2015/7/29 23:06,2015/7/30 5:40,0.71,6:34:00,:),Drank coffee:Drank tea:Worked out,61,0,394,"['Drank coffee', 'Drank tea', 'Worked out']"
134,2015-07-30,2015/7/30 21:40,2015/7/31 5:40,0.88,8:00:00,:),Drank coffee:Worked out,64,0,480,"['Drank coffee', 'Worked out']"
135,2015-08-01,2015/8/1 1:41,2015/8/1 8:31,0.77,6:49:00,:),Drank coffee:Drank tea:Worked out,64,0,409,"['Drank coffee', 'Drank tea', 'Worked out']"
136,2015-08-01,2015/8/1 22:55,2015/8/2 8:02,0.97,9:06:00,:),Drank coffee:Worked out,,0,546,"['Drank coffee', 'Worked out']"
138,2015-08-03,2015/8/3 0:26,2015/8/3 7:25,0.88,6:59:00,:),Drank coffee:Worked out,68,0,419,"['Drank coffee', 'Worked out']"
139,2015-08-03,2015/8/3 21:46,2015/8/4 5:00,0.71,7:14:00,:),Drank coffee:Stressful day:Worked out,,0,434,"['Drank coffee', 'Stressful day', 'Worked out']"
140,2015-08-04,2015/8/4 21:17,2015/8/5 4:55,0.81,7:38:00,:),Drank coffee:Drank tea:Worked out,,0,458,"['Drank coffee', 'Drank tea', 'Worked out']"
141,2015-08-05,2015/8/5 21:35,2015/8/6 4:55,0.78,7:19:00,:),Drank coffee:Drank tea:Worked out,57,0,439,"['Drank coffee', 'Drank tea', 'Worked out']"
142,2015-08-08,2015/8/8 0:19,2015/8/8 7:56,0.97,7:37:00,:),Drank coffee:Worked out,54,0,457,"['Drank coffee', 'Worked out']"
143,2015-08-10,2015/8/10 0:01,2015/8/10 5:03,0.65,5:02:00,:),Drank coffee,,0,302,['Drank coffee']
144,2015-08-10,2015/8/10 21:11,2015/8/11 6:09,0.72,8:58:00,:),Drank coffee:Drank tea:Worked out,50,0,538,"['Drank coffee', 'Drank tea', 'Worked out']"
145,2015-08-15,2015/8/15 23:41,2015/8/16 7:27,0.84,7:46:00,:),Drank coffee,,0,466,['Drank coffee']
146,2015-08-16,2015/8/16 21:44,2015/8/17 4:45,0.58,7:00:00,:),Drank coffee,56,0,420,['Drank coffee']
147,2015-08-17,2015/8/17 22:13,2015/8/18 5:27,0.85,7:14:00,:),Drank coffee:Drank tea:Worked out,,0,434,"['Drank coffee', 'Drank tea', 'Worked out']"
148,2015-08-18,2015/8/18 22:33,2015/8/19 6:45,0.9,8:12:00,:),Drank coffee:Drank tea:Worked out,57,0,492,"['Drank coffee', 'Drank tea', 'Worked out']"
149,2015-08-19,2015/8/19 21:48,2015/8/20 6:01,0.79,8:12:00,:),Drank coffee:Worked out,51,0,492,"['Drank coffee', 'Worked out']"
150,2015-08-20,2015/8/20 22:36,2015/8/21 6:00,0.69,7:23:00,:),Drank coffee,58,0,443,['Drank coffee']
151,2015-08-21,2015/8/21 21:52,2015/8/22 6:00,0.88,8:07:00,:),Drank coffee:Stressful day,,0,487,"['Drank coffee', 'Stressful day']"
152,2015-08-22,2015/8/22 21:59,2015/8/23 5:49,0.9,7:49:00,:),Drank coffee,52,0,469,['Drank coffee']
153,2015-08-23,2015/8/23 21:59,2015/8/24 5:29,0.83,7:30:00,:),Ate late:Drank coffee:Drank tea,52,0,450,"['Ate late', 'Drank coffee', 'Drank tea']"
154,2015-08-25,2015/8/25 21:57,2015/8/26 5:45,0.67,7:48:00,:),Drank coffee,,0,468,['Drank coffee']
155,2015-08-26,2015/8/26 21:14,2015/8/27 5:45,0.9,8:30:00,:),Drank coffee:Stressful day,,0,510,"['Drank coffee', 'Stressful day']"
156,2015-08-27,2015/8/27 21:19,2015/8/28 5:45,0.93,8:26:00,:|,,60,0,506,['nan']
157,2015-08-28,2015/8/28 22:01,2015/8/29 6:00,0.85,7:59:00,:),Drank coffee:Drank tea,62,0,479,"['Drank coffee', 'Drank tea']"
158,2015-08-30,2015/8/30 22:00,2015/8/31 6:00,0.84,8:00:00,:),Drank coffee,66,0,480,['Drank coffee']
159,2015-08-31,2015/8/31 22:14,2015/9/1 6:00,0.77,7:46:00,:),Drank coffee,,0,466,['Drank coffee']
160,2015-09-01,2015/9/1 22:00,2015/9/2 6:00,0.85,7:59:00,:),Drank tea,65,0,479,['Drank tea']
161,2015-09-02,2015/9/2 23:36,2015/9/3 7:10,0.77,7:33:00,:),Drank coffee,57,0,453,['Drank coffee']
162,2015-09-05,2015/9/5 22:54,2015/9/6 6:59,0.87,8:04:00,:),Drank coffee,,0,484,['Drank coffee']
163,2015-09-07,2015/9/7 22:45,2015/9/8 6:13,0.84,7:27:00,:),Drank coffee:Drank tea,61,0,447,"['Drank coffee', 'Drank tea']"
164,2015-09-08,2015/9/8 22:03,2015/9/9 6:04,0.86,8:01:00,:),Drank tea:Worked out,,0,481,"['Drank tea', 'Worked out']"
165,2015-09-09,2015/9/9 22:40,2015/9/10 6:10,0.83,7:29:00,:),Drank coffee:Drank tea:Worked out,,0,449,"['Drank coffee', 'Drank tea', 'Worked out']"
166,2015-09-10,2015/9/10 22:10,2015/9/11 4:57,0.77,6:46:00,:),Drank coffee:Drank tea:Worked out,,0,406,"['Drank coffee', 'Drank tea', 'Worked out']"
167,2015-09-12,2015/9/12 0:06,2015/9/12 7:41,0.81,7:35:00,:),Drank coffee:Worked out,,0,455,"['Drank coffee', 'Worked out']"
168,2015-09-13,2015/9/13 22:03,2015/9/14 5:50,0.81,7:47:00,:),Drank coffee,,0,467,['Drank coffee']
169,2015-09-14,2015/9/14 22:33,2015/9/15 6:30,0.83,7:56:00,:),Drank coffee:Stressful day:Worked out,,0,476,"['Drank coffee', 'Stressful day', 'Worked out']"
170,2015-09-15,2015/9/15 22:14,2015/9/16 5:55,0.7,7:40:00,:),Drank coffee:Worked out,,0,460,"['Drank coffee', 'Worked out']"
171,2015-09-16,2015/9/16 21:59,2015/9/17 6:20,0.8,8:20:00,:),Drank coffee:Drank tea:Worked out,59,0,500,"['Drank coffee', 'Drank tea', 'Worked out']"
172,2015-09-17,2015/9/17 22:57,2015/9/18 6:20,0.6,7:22:00,:),Drank coffee:Drank tea:Worked out,56,0,442,"['Drank coffee', 'Drank tea', 'Worked out']"
173,2015-09-19,2015/9/19 0:31,2015/9/19 6:55,0.55,6:23:00,:),Drank coffee,,0,383,['Drank coffee']
